1,Belo Horizonte 
2,Betim 
3,Caeté 
4,Contagem 
5,Ibirité 
6,Lagoa Santa 
7,Nova Lima 
8,Pedro Leopoldo 
9,Raposos 
10,Ribeirão das Neves 
11,Rio Acima 
12,Sabará 
13,Santa Luzia 
14,Vespasiano
15,Brumadinho 
16,Esmeraldas 
17,Igarapé
18,Mateus Leme
19,Juatuba  
20,São José da Lapa
21,Florestal 
22,Rio Manso 
23,Confins 
24,Mário Campos 
25,São Joaquim de Bicas
26,Sarzedo
27,Baldim 
28,Capim Branco 
29,Jaboticatubas 
30,Taquaraçu de Minas 
31,Itaguara 
32,Matozinhos
33,Nova União 
34,Itatiaiuçu
